?series	?series_label	?start_time	?end_time	?cast_member	?cast_label
<http://www.wikidata.org/entity/Q380519>	"Star Trek: Enterprise"@en	"2001-09-26T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2005-05-13T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q311699>	"Scott Bakula"@en
<http://www.wikidata.org/entity/Q380519>	"Star Trek: Enterprise"@en	"2001-09-26T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2005-05-13T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q234466>	"Jolene Blalock"@en
<http://www.wikidata.org/entity/Q380519>	"Star Trek: Enterprise"@en	"2001-09-26T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2005-05-13T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q241873>	"Linda Park"@en
<http://www.wikidata.org/entity/Q16290>	"Star Trek: The Next Generation"@en	"1987-09-28T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1994-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q16296>	"Patrick Stewart"@en
<http://www.wikidata.org/entity/Q1077>	"Star Trek: The Original Series"@en	"1966-09-08T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1969-09-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q16297>	"William Shatner"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q10738>	"Dwayne Johnson"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q442453>	"Scarlett Pomers"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q452232>	"Tim Russ"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q445253>	"David Graf"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q367549>	"Robert Beltran"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q435475>	"Ethan Phillips"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q437693>	"Titus Welliver"@en
<http://www.wikidata.org/entity/Q1077>	"Star Trek: The Original Series"@en	"1966-09-08T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1969-09-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q110154>	"George Takei"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q57464>	"Abdullah II of Jordan"@en
<http://www.wikidata.org/entity/Q108774>	"Star Trek: Deep Space Nine"@en	"1993-01-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1999-06-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q164372>	"Mark Allen Shepherd"@en
<http://www.wikidata.org/entity/Q16290>	"Star Trek: The Next Generation"@en	"1987-09-28T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1994-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q49001>	"Whoopi Goldberg"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q229013>	"Sarah Silverman"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q229784>	"Virginia Madsen"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q538129>	"Martha Hackett"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q508333>	"Robert Duncan McNeill"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q530646>	"Ray Wise"@en
<http://www.wikidata.org/entity/Q1077>	"Star Trek: The Original Series"@en	"1966-09-08T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1969-09-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q16345>	"Leonard Nimoy"@en
<http://www.wikidata.org/entity/Q108774>	"Star Trek: Deep Space Nine"@en	"1993-01-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1999-06-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q152542>	"William Sadler"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q551354>	"Garrett Wang"@en
<http://www.wikidata.org/entity/Q380519>	"Star Trek: Enterprise"@en	"2001-09-26T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2005-05-13T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q713738>	"Dominic Keating"@en
<http://www.wikidata.org/entity/Q108774>	"Star Trek: Deep Space Nine"@en	"1993-01-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1999-06-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q182372>	"Louise Fletcher"@en
<http://www.wikidata.org/entity/Q1077>	"Star Trek: The Original Series"@en	"1966-09-08T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1969-09-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q16349>	"DeForest Kelley"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q16455>	"John Rhys-Davies"@en
<http://www.wikidata.org/entity/Q16290>	"Star Trek: The Next Generation"@en	"1987-09-28T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1994-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q232945>	"Marina Sirtis"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q464425>	"Ed Begley, Jr."@en
<http://www.wikidata.org/entity/Q380519>	"Star Trek: Enterprise"@en	"2001-09-26T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2005-05-13T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q453724>	"John Billingsley"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q230038>	"Kate Mulgrew"@en
<http://www.wikidata.org/entity/Q108774>	"Star Trek: Deep Space Nine"@en	"1993-01-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1999-06-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q231576>	"Nana Visitor"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1384181>	"Michael McKean"@en
<http://www.wikidata.org/entity/Q108774>	"Star Trek: Deep Space Nine"@en	"1993-01-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1999-06-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q253561>	"Adrienne Barbeau"@en
<http://www.wikidata.org/entity/Q108774>	"Star Trek: Deep Space Nine"@en	"1993-01-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1999-06-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q272166>	"Tracy Middendorf"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q272020>	"Jennifer Lien"@en
<http://www.wikidata.org/entity/Q16290>	"Star Trek: The Next Generation"@en	"1987-09-28T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1994-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q269599>	"Diana Muldaur"@en
<http://www.wikidata.org/entity/Q16290>	"Star Trek: The Next Generation"@en	"1987-09-28T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1994-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q234474>	"Denise Crosby"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q236809>	"Jeri Ryan"@en
<http://www.wikidata.org/entity/Q108774>	"Star Trek: Deep Space Nine"@en	"1993-01-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1999-06-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q253578>	"Rosalind Chao"@en
<http://www.wikidata.org/entity/Q16290>	"Star Trek: The Next Generation"@en	"1987-09-28T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1994-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q253578>	"Rosalind Chao"@en
<http://www.wikidata.org/entity/Q380519>	"Star Trek: Enterprise"@en	"2001-09-26T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2005-05-13T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q552103>	"Connor Trinneer"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q692800>	"Ray Walston"@en
<http://www.wikidata.org/entity/Q1077>	"Star Trek: The Original Series"@en	"1966-09-08T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1969-09-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q272214>	"Grace Lee Whitney"@en
<http://www.wikidata.org/entity/Q108774>	"Star Trek: Deep Space Nine"@en	"1993-01-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1999-06-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q274883>	"Cecily Adams"@en
<http://www.wikidata.org/entity/Q108774>	"Star Trek: Deep Space Nine"@en	"1993-01-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1999-06-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q232917>	"Majel Barrett"@en
<http://www.wikidata.org/entity/Q16290>	"Star Trek: The Next Generation"@en	"1987-09-28T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1994-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q232917>	"Majel Barrett"@en
<http://www.wikidata.org/entity/Q1077>	"Star Trek: The Original Series"@en	"1966-09-08T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1969-09-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q232917>	"Majel Barrett"@en
<http://www.wikidata.org/entity/Q16290>	"Star Trek: The Next Generation"@en	"1987-09-28T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1994-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q253764>	"Gates McFadden"@en
<http://www.wikidata.org/entity/Q380519>	"Star Trek: Enterprise"@en	"2001-09-26T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2005-05-13T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q550115>	"Anthony Montgomery"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q550778>	"John de Lancie"@en
<http://www.wikidata.org/entity/Q108774>	"Star Trek: Deep Space Nine"@en	"1993-01-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1999-06-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q281621>	"John Glover"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q277099>	"Raphael Sbarge"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q253977>	"Roxann Dawson"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2642039>	"Alexander Enberg"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2571025>	"Gary Graham"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1964497>	"Nancy Hower"@en
<http://www.wikidata.org/entity/Q156329>	"Star Trek: Voyager"@en	"1995-01-16T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2001-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1891371>	"Manu Intiraymi"@en
<http://www.wikidata.org/entity/Q108774>	"Star Trek: Deep Space Nine"@en	"1993-01-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1999-06-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q313671>	"Colm Meaney"@en
<http://www.wikidata.org/entity/Q16290>	"Star Trek: The Next Generation"@en	"1987-09-28T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1994-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q312570>	"LeVar Burton"@en
<http://www.wikidata.org/entity/Q16290>	"Star Trek: The Next Generation"@en	"1987-09-28T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1994-05-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q313671>	"Colm Meaney"@en
<http://www.wikidata.org/entity/Q1077>	"Star Trek: The Original Series"@en	"1966-09-08T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1969-09-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q254038>	"Nichelle Nichols"@en
<http://www.wikidata.org/entity/Q108774>	"Star Trek: Deep Space Nine"@en	"1993-01-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1999-06-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q258612>	"Terry Farrell"@en
